id,label,title,year,venue,status,tags,doi,paper_url,preprint_url,code_url,added_at,updated_at,code_status,tag_review_basis
cellvoyager,CellVoyager,CellVoyager: AI CompBio Agent Generates New Insights by Autonomously Analyzing Biological Data,2026,Nature Methods,published,Agent|Benchmark,10.1038/s41592-026-03029-6,https://doi.org/10.1038/s41592-026-03029-6,https://doi.org/10.1101/2025.06.03.657517,https://github.com/zou-group/CellVoyager,,2026-09-26,project_match,abstract
biomni,Biomni,Autonomous Biomedical Research with an Artificial Intelligence Agent,2026,Science,published,Agent|Related,10.1126/science.adz4351,https://doi.org/10.1126/science.adz4351,https://doi.org/10.1101/2025.05.30.656746,https://github.com/snap-stanford/biomni,,2026-09-26,repository_linked,abstract
state,STATE,Predicting cellular responses to perturbation across diverse contexts with State,2026,Cell,published,Perturbation|Foundation Model|Benchmark,10.1016/j.cell.2026.07.052,https://doi.org/10.1016/j.cell.2026.07.052,https://www.biorxiv.org/content/10.1101/2025.06.26.661135v2,https://github.com/ArcInstitute/state,,2026-09-26,repository_linked,abstract
unipert-g2cp,UniPert-G2CP,UniPert-G2CP Bridges Genetic and Chemical Screens from Molecular Representation to Phenotype Modeling,2026,Cell,published,Perturbation|Multimodal,10.1016/j.cell.2026.06.005,https://doi.org/10.1016/j.cell.2026.06.005,https://doi.org/10.1101/2025.02.02.635055,https://github.com/TencentAILabHealthcare/UniPert,,2026-09-26,repository_linked,abstract
cell-shapes,Cell Shapes,Cell shapes decode molecular phenotypes in image-based spatial proteomics,2026,Cell Systems,published,Morphology|Protein|Perturbation,10.1016/j.cels.2026.101589,https://doi.org/10.1016/j.cels.2026.101589,https://doi.org/10.1101/2025.05.13.653868,,,2026-09-26,not_found,abstract
sclong,scLong,scLong: A Billion-Parameter Foundation Model for Capturing Long-Range Gene Context in Single-Cell Transcriptomics,2026,Nature Communications,published,Foundation Model|Representation Learning|Perturbation|Gene Regulation,10.1038/s41467-026-69102-y,https://doi.org/10.1038/s41467-026-69102-y,https://doi.org/10.1101/2024.11.09.622759,https://github.com/BaiDing1234/scLong,,2026-09-26,project_match,abstract
uce,UCE,Universal Cell Embedding Provides a Foundation Model for Cell Biology,2026,Nature,published,Foundation Model|Representation Learning,10.1038/s41586-026-10689-z,https://doi.org/10.1038/s41586-026-10689-z,https://www.biorxiv.org/content/10.1101/2023.11.28.568918v2,https://github.com/snap-stanford/UCE,,2026-09-26,repository_linked,abstract
cellos,CellOS,CellOS: Learning a World Model of Cellular State through Joint Embedding Prediction,2026,bioRxiv,preprint,Virtual Cell|World Model|JEPA|Foundation Model|Representation Learning|Multimodal|Perturbation,10.64898/2026.06.18.733163,,https://doi.org/10.64898/2026.06.18.733163,,,2026-09-26,not_found,abstract
chreode,Chreode,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,2026,arXiv,preprint,World Model|Foundation Model|Dynamics|Perturbation,,,https://arxiv.org/abs/2605.28111,https://github.com/MufanQiu/Chreode,,2026-09-26,repository_linked,abstract
vcwm,VCWM,A world model of the virtual cell,2026,Cell,published,Virtual Cell|World Model|Review,10.1016/j.cell.2026.08.042,https://doi.org/10.1016/j.cell.2026.08.042,,,,2026-09-26,not_found,abstract
world-model-gaps,World Model Gaps,"What Makes a Virtual Cell a World Model? Three Gaps, Three Experiments, and a Roadmap",2026,Research Square,preprint,World Model|Virtual Cell|Benchmark,10.21203/rs.3.rs-10404367/v1,,https://doi.org/10.21203/rs.3.rs-10404367/v1,,,2026-09-26,not_found,abstract
biomedical-world-models,Biomedical World Models,Towards World Models in Biomedical Research,2026,arXiv,preprint,World Model|Review|Related,,,https://arxiv.org/abs/2606.05925,,,2026-09-26,not_found,abstract
ceno,CENO,CENO: A Genome-Scale World Model for Evolutionary Sequence Interpretation and Programmable Regulatory Design,2026,bioRxiv,preprint,World Model|Foundation Model|Gene Regulation|Intervention Design|Related,10.64898/2026.07.28.741284,,https://doi.org/10.64898/2026.07.28.741284,https://github.com/CladeTeam/CENO,,2026-09-26,repository_linked,abstract
cell-jepa,Cell-JEPA,Cell-JEPA: Latent Representation Learning for Single-Cell Transcriptomics,2026,arXiv,preprint,JEPA|Foundation Model|Representation Learning|Perturbation,,,https://arxiv.org/abs/2602.02093,,,2026-09-26,not_found,abstract
spatialjepa,SpatialJEPA,SpatialJEPA: JEPA-Inspired Graph-Context Distillation for Spatially Aware Multiomics Integration,2026,bioRxiv,preprint,JEPA|Spatial|Multimodal|Representation Learning,10.64898/2026.07.21.739810,,https://doi.org/10.64898/2026.07.21.739810,,,2026-09-26,not_found,abstract
biom-jepa,BioM-JEPA,BioM-JEPA: Joint-Embedding Prediction of Graph-Connected Gene Blocks in Single Cells,2026,arXiv,preprint,JEPA|Foundation Model|Representation Learning|Perturbation,,,https://arxiv.org/abs/2608.05928,,,2026-09-26,release_pending,abstract
cellworld,CellWorld,CellWorld: From Gene-Level Reconstruction to Latent Cell Prediction in Spatial Transcriptomics Foundation Models,2026,arXiv,preprint,JEPA|Foundation Model|Spatial|Representation Learning,,,https://arxiv.org/abs/2608.06659,https://github.com/UoM-HealthAI/CellWorld,,2026-09-26,project_match,abstract
terra,TERRA,Multi-Scale Modeling of Human Tissues from Spatial Transcriptomics with TERRA,2026,bioRxiv,preprint,JEPA|Foundation Model|Spatial|Perturbation|Representation Learning,10.64898/2026.07.29.741565,,https://doi.org/10.64898/2026.07.29.741565,https://github.com/Lotfollahi-lab/terra,,2026-09-26,project_match,abstract
context-not-scale,Context Not Scale,"Position: Virtual Cells Need Context, Not Just Scale",2026,ICML,published,Virtual Cell|Review|Perturbation,,https://openreview.net/forum?id=OI0AaBpeDK,,,,2026-09-26,related_only,project_documentation
scdifformer,scDifformer,scDifformer: diffusion-based post-training for virtual cell modeling across large-scale single-cell data,2026,Nucleic Acids Research,published,Virtual Cell|Foundation Model|Representation Learning|Perturbation,10.1093/nar/gkag706,https://doi.org/10.1093/nar/gkag706,,https://github.com/yaoqiqi17732/scDifformer,,2026-09-26,project_match,abstract
ocellus,OCellus,"OCellus: A Language-Model Framework for Single-Cell, Spatial, and Perturbation Biology with Natural-Language Reasoning",2026,bioRxiv,preprint,Virtual Cell|Foundation Model|Multimodal|Spatial|Perturbation,10.64898/2026.07.08.737248,,https://doi.org/10.64898/2026.07.08.737248,,,2026-09-26,not_found,abstract
cellq-pace,CellQ / PACE,Virtual-cell verification enables self-auditing AI discovery for immune rejuvenation,2026,bioRxiv,preprint,Virtual Cell|Agent|Intervention Design|Perturbation,10.64898/2026.08.04.742916,,https://doi.org/10.64898/2026.08.04.742916,,,2026-09-26,not_found,abstract
vcharness,VCHarness,Harnessing AI to Build Virtual Cells,2026,bioRxiv,preprint,Agent|Virtual Cell,10.64898/2026.04.11.717183,,https://doi.org/10.64898/2026.04.11.717183,https://github.com/genbio-ai/VCHarness,,2026-09-26,project_match,abstract
vcr-agent,VCR-Agent,Towards Autonomous Mechanistic Reasoning in Virtual Cells,2026,arXiv,preprint,Agent|Virtual Cell|Perturbation|Gene Regulation,,,https://arxiv.org/abs/2604.11661,https://github.com/valence-labs/VCR-Agent,,2026-09-26,repository_linked,abstract
spacellagent,SpaCellAgent,SpaCellAgent: A Self-Evolving LLM-Based Multi-Agent Framework for Trajectory Analysis,2026,arXiv,preprint,Agent|Dynamics|Spatial|Tool,,,https://arxiv.org/abs/2607.07467,https://github.com/LittleXH-shw/SpaCellAgent,,2026-09-26,project_match,abstract
cellconsensus,CellConsensus,CellConsensus: An agent-curated atlas for automatic cell typing,2026,bioRxiv,preprint,Agent|Tool|Dataset,10.64898/2026.08.07.743503,,https://doi.org/10.64898/2026.08.07.743503,https://github.com/tansey-lab/cellconsensus,,2026-09-26,project_match,abstract
literature-authored-embeddings,Literature-Authored Embeddings,Coding agents author interpretable single-cell embedding models from the literature,2026,bioRxiv,preprint,Agent|Representation Learning,10.64898/2026.07.07.737048,,https://doi.org/10.64898/2026.07.07.737048,,,2026-09-26,not_found,abstract
llm4cell,LLM4Cell,LLM4Cell: Taxonomy and Evaluation of LLM and Agentic Models for Single-Cell Biology,2026,ACL,published,Benchmark|Agent|Review,,https://aclanthology.org/2026.acl-long.1942/,,,,2026-09-26,not_found,abstract
scbench-long,scBench-Long,scBench-Long: Verifiable Benchmarking of Long-Horizon Single-Cell Biology,2026,arXiv,preprint,Benchmark|Agent|Multimodal,,,https://arxiv.org/abs/2606.26563,,,2026-09-26,not_found,abstract
score-distributions,Score Distributions,"Score Distributions, Not Cells: Evaluating Single-Cell Perturbations Under Class Overlap",2026,arXiv,preprint,Benchmark|Perturbation,,,https://arxiv.org/abs/2607.04595,,,2026-09-26,not_found,abstract
projection-basis,Projection Basis,The projection basis determines the information ceiling for perturbation prediction,2026,bioRxiv,preprint,Benchmark|Perturbation|Representation Learning,10.64898/2026.07.07.737004,,https://doi.org/10.64898/2026.07.07.737004,,,2026-09-26,not_found,abstract
harmonised-fm-benchmark,Harmonised FM Benchmark,Harmonised benchmarking of foundation models for single-cell and spatial transcriptomics reveals context-dependent generalisation,2026,arXiv,preprint,Benchmark|Foundation Model|Spatial|Perturbation,,,https://arxiv.org/abs/2607.17227,,,2026-09-26,not_found,abstract
sccontam,scContam,Auditing pretraining contamination in single-cell foundation model benchmarks,2026,arXiv,preprint,Benchmark|Foundation Model,,,https://arxiv.org/abs/2607.20572,,,2026-09-26,not_found,abstract
pertreason,PertReason,PertReason: A Knowledge-Grounded Benchmark and Framework for Cell-State-Conditioned Mechanistic Reasoning of Perturbation Effects,2026,arXiv,preprint,Benchmark|Perturbation|Agent|Gene Regulation,,,https://arxiv.org/abs/2607.18777,https://github.com/dongkwan-kim/PertReasonQA,,2026-09-26,repository_linked,abstract
de-classification,DE Classification,Beyond Expression Prediction: Benchmarking Differential Expression Classification in Single-Cell Perturbation Models,2026,bioRxiv,preprint,Benchmark|Perturbation,10.64898/2026.07.20.739620,,https://doi.org/10.64898/2026.07.20.739620,,,2026-09-26,not_found,abstract
principled-evaluation,Principled Evaluation,Towards Principled Evaluation of Single-Cell Perturbation Prediction Models,2026,bioRxiv,preprint,Benchmark|Perturbation,10.64898/2026.07.23.740433,,https://doi.org/10.64898/2026.07.23.740433,,,2026-09-26,not_found,abstract
